Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
feaB	b1385	1447519	1449018	phenylacetaldehyde dehydrogenase	feaB // ydbG // padA // b1385 // ECK1382	phenylacetaldehyde dehydrogenase	cytosol
feaR	b1384	1446378	1447283	DNA-binding transcriptional activator FeaR	feaR // ydbM // maoX // maoB // b1384 // ECK1381		cytosol
fecA	b4291	4514353	4516677	ferric citrate outer membrane transporter	fecA // b4291 // ECK4281	ferric citrate outer membrane transport complex	outer membrane
fecB	b4290	4513406	4514308	ferric citrate ABC transporter periplasmic binding protein	fecB // b4290 // ECK4280	ferric citrate ABC transporter	inner membrane // periplasmic space
fecC	b4289	4512411	4513409	ferric citrate ABC transporter membrane subunit FecC	fecC // b4289 // ECK4279	ferric citrate ABC transporter	inner membrane
fecD	b4288	4511458	4512414	ferric citrate ABC transporter membrane subunit FecD	fecD // b4288 // ECK4278	ferric citrate ABC transporter	inner membrane
fecE	b4287	4510690	4511457	ferric citrate ABC transporter ATP binding subunit	fecE // b4287 // ECK4277	ferric citrate ABC transporter	inner membrane
fecI	b4293	4517714	4518235	RNA polymerase sigma factor FecI	fecI // b4293 // ECK4283	RNA polymerase sigma 19	cytosol
fecR	b4292	4516764	4517717	ferric citrate regulator FecR	fecR // b4292 // ECK4282		periplasmic space // inner membrane
feoA	b3408	3540163	3540390	ferrous iron transport protein A	feoA // b3408 // ECK3395		cytosol
feoB	b3409	3540407	3542728	Fe<sup>2+</sup> transporter FeoB	feoB // b3409 // ECK3396		inner membrane
feoC	b3410	3542728	3542964	ferrous iron transport protein FeoC	feoC // yhgG // b3410 // ECK3397		cytosol
fepA	b0584	610254	612494	ferric enterobactin outer membrane transporter	fepA // cbr // cbt // fep // feuB // b0584 // ECK0576	ferric enterobactin outer membrane transport complex	outer membrane // cell envelope (sensu Bacteria)
fepB	b0592	623554	624510	ferric enterobactin ABC transporter periplasmic binding protein	fepB // b0592 // ECK0585	ferric enterobactin ABC transporter	inner membrane // periplasmic space
fepC	b0588	619384	620199	ferric enterobactin ABC transporter ATP binding subunit	fepC // b0588 // ECK0581	ferric enterobactin ABC transporter	inner membrane // cytosol
fepD	b0590	621185	622189	ferric enterobactin ABC transporter membrane subunit FebD	fepD // b0590 // ECK0583	ferric enterobactin ABC transporter	inner membrane
fepE	b0587	618254	619387	polysaccharide co-polymerase family protein FepE	fepE // b0587 // ECK0580		inner membrane
fepG	b0589	620196	621188	ferric enterobactin ABC transporter membrane subunit FepG	fepG // b0589 // ECK0582	ferric enterobactin ABC transporter	inner membrane
fes	b0585	612737	613939	ferric enterobactin esterase	fes // b0585 // ECK0577		cytosol
fetA	b0490	515919	516596	putative iron ABC exporter ATP-binding subunit FetA	fetA // ybbL // b0490 // ECK0484		inner membrane
fetB	b0491	516583	517362	putative iron ABC exporter membrane subunit FetB	fetB // ybbM // b0491 // ECK0485		inner membrane
ffh	b2610	2746434	2747795	signal recognition particle protein component	ffh // b2610 // ECK2607	Signal Recognition Particle	cytosol
ffs	b0455	476448	476561	signal recognition particle 4.5S RNA	ffs // b0455 // ECK0449	Signal Recognition Particle	cytosol
fhlA	b2731	2854338	2856416	DNA-binding transcriptional activator FhlA	fhlA // fhl // b2731 // ECK2726	FhlA-formate DNA-binding transcriptional activator	cytosol
fhuA	b0150	167484	169727	ferrichrome outer membrane transporter/phage receptor	fhuA // T1 // T5rec // tonA // b0150 // ECK0149	ferrichrome outer membrane transport complex	outer membrane
fhuB	b0153	171462	173444	iron(III) hydroxamate ABC transporter membrane subunit	fhuB // b0153 // ECK0152	iron(III) hydroxamate ABC transporter	inner membrane
fhuC	b0151	169778	170575	iron(III) hydroxamate ABC transporter ATP binding subunit	fhuC // b0151 // ECK0150	iron(III) hydroxamate ABC transporter	inner membrane
fhuD	b0152	170575	171465	iron(III) hydroxamate ABC transporter periplasmic binding protein	fhuD // b0152 // ECK0151	iron(III) hydroxamate ABC transporter	inner membrane // periplasmic space
fhuE	b1102	1159362	1161551	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	fhuE // b1102 // ECK1088	ferric coprogen outer membrane transport complex	outer membrane
fhuF	b4367	4604875	4605663	ferric-siderophore reductase FhuF	fhuF // yjjS // b4367 // ECK4357		inner membrane // cytosol
fic	b3361	3490861	3491463	putative adenosine monophosphate&mdash;protein transferase Fic	fic // ficT // b3361 // ECK3349	FicT-FicA complex	cytosol
fieF	b3915	4106469	4107371	Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	fieF // yiiP // b3915 // ECK3907	Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	inner membrane
fimA	b4314	4543115	4543663	type 1 fimbriae major subunit	fimA // fimD // pilA // b4314 // ECK4305	fimbrial complex	extracellular space // pilus
fimB	b4312	4540957	4541559	Type 1 fimbriae regulatory protein FimB	fimB // pil // b4312 // ECK4303		cytosol
fimC	b4316	4544304	4545029	type 1 fimbriae periplasmic chaperone	fimC // pilB // b4316 // ECK4307		periplasmic space
fimD	b4317	4545096	4547732	type I fimbriae usher protein	fimD // fimD_1 // fimD_2 // b4317 // ECK4308		outer membrane
fimE	b4313	4542037	4542633	regulator for fimA	fimE // hyp // pilH // b4313 // ECK4304		cytosol
fimF	b4318	4547742	4548272	type 1 fimbriae minor subunit FimF	fimF // b4318 // ECK4309	fimbrial complex	pilus // extracellular space
fimG	b4319	4548285	4548788	type 1 fimbriae minor subunit FimG	fimG // b4319 // ECK4310	fimbrial complex	pilus // extracellular space
fimH	b4320	4548808	4549710	type 1 fimbriae D-mannose specific adhesin	fimH // pilE // b4320 // ECK4311	fimbrial complex	pilus // extracellular space
fimI	b4315	4543728	4544267	putative fimbrial protein FimI	fimI // b4315 // ECK4306		pilus // extracellular space
fimZ	b0535	563848	564480	putative LuxR family transcriptional regulator FimZ	fimZ // ybcA // b0535 // ECK0528		cytosol
fis	b3261	3411271	3411567	DNA-binding transcriptional dual regulator Fis	fis // nbp // b3261 // ECK3248	DNA-binding transcriptional dual regulator Fis	bacterial nucleoid // cytosol
fiu	b0805	839249	841531	iron catecholate outer membrane transporter Fiu	fiu // ybiL // b0805 // ECK0794	iron-catecholate outer membrane transport complex I	outer membrane
fixA	b0041	42403	43173	putative electron transfer flavoprotein FixA	fixA // yaaQ // b0041 // ECK0042		periplasmic space
fixB	b0042	43188	44129	putative electron transfer flavoprotein FixB	fixB // yaaR // b0042 // ECK0043		
fixC	b0043	44180	45466	putative oxidoreductase FixC	fixC // yaaS // b0043 // ECK0044		cytosol
fixX	b0044	45463	45750	putative ferredoxin FixX	fixX // yaaT // b0044 // ECK0045		cytosol
fklB	b4207	4428935	4429555	peptidyl-prolyl <i>cis-trans</i> isomerase FklB	fklB // ytfC // b4207 // ECK4203	peptidyl-prolyl <i>cis-trans</i> isomerase FklB	cytosol // periplasmic space
fkpA	b3347	3476607	3477419	peptidyl-prolyl <i>cis-trans</i> isomerase FkpA	fkpA // yzzS // b3347 // ECK3334		periplasmic space
fkpB	b0028	25826	26275	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	fkpB // slpA // yaaD // b0028 // ECK0029		cytosol
fldA	b0684	710935	711465	oxidized flavodoxin 1 // flavodoxin 1	fldA // b0684 // ECK0672		cytosol
fldB	b2895	3039855	3040376	oxidized flavodoxin 2 // flavodoxin 2	fldB // b2895 // ECK2890		cytosol
flgA	b1072	1130204	1130863	flagellar basal body P-ring formation protein FlgA	flgA // flaU // b1072 // ECK1057		periplasmic space
flgB	b1073	1131018	1131434	flagellar basal-body rod protein FlgB	flgB // flbA // b1073 // ECK1058	flagellar basal body	periplasmic space // cell projection
flgC	b1074	1131438	1131842	flagellar basal-body rod protein FlgC	flgC // flaW // b1074 // ECK1059	flagellar basal body	periplasmic space // cell projection
flgD	b1075	1131854	1132549	flagellar biosynthesis, initiation of hook assembly	flgD // flaV // b1075 // ECK1060		cytosol
flgE	b1076	1132574	1133782	flagellar hook protein FlgE	flgE // flaK // b1076 // ECK1061	flagellum	cytosol // cell projection
flgF	b1077	1133802	1134557	flagellar basal-body rod protein FlgF	flgF // flaX // b1077 // ECK1062	flagellar basal body	cell projection
flgG	b1078	1134729	1135511	flagellar basal-body rod protein FlgG	flgG // flaL // b1078 // ECK1063	flagellar basal body	outer membrane // cell projection
flgH	b1079	1135564	1136262	flagellar L-ring protein	flgH // flaY // b1079 // ECK1064	flagellar basal body	outer membrane // cell projection
flgI	b1080	1136274	1137371	flagellar P-ring protein	flgI // flaM // b1080 // ECK1065	flagellar basal body	periplasmic space // cell projection
flgJ	b1081	1137371	1138312	putative peptidoglycan hydrolase FlgJ	flgJ // flaZ // b1081 // ECK1066		periplasmic space
flgK	b1082	1138378	1140021	flagellar hook-filament junction protein 1	flgK // flaS // b1082 // ECK1067	flagellum	extracellular space // cell projection
flgL	b1083	1140033	1140986	flagellar hook-filament junction protein 2	flgL // flaT // b1083 // ECK1068	flagellum	extracellular space // cell projection
flgM	b1071	1129835	1130128	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	flgM // b1071 // ECK1056		cytosol
flgN	b1070	1129414	1129830	flagellar biosynthesis protein FlgN	flgN // b1070 // ECK1055		cytosol
flhA	b1879	1962972	1965050	flagellar biosynthesis protein FlhA	flhA // flaH // b1879 // ECK1880	flagellar export apparatus	inner membrane // cell projection
flhB	b1880	1965043	1966191	flagellar biosynthesis protein FlhB	flhB // yecQ // flaG // b1880 // ECK1881	flagellar export apparatus	inner membrane // cell projection
flhC	b1891	1977266	1977844	DNA-binding transcriptional dual regulator FlhC	flhC // flaI // b1891 // ECK1892	FlhDC DNA-binding transcriptional dual regulator	cytosol
flhD	b1892	1977847	1978197	DNA-binding transcriptional dual regulator FlhD	flhD // flbB // b1892 // ECK1893	FlhDC DNA-binding transcriptional dual regulator	cytosol
flhE	b1878	1962580	1962972	flagellar protein FlhE	flhE // b1878 // ECK1879		periplasmic space // cell projection
fliA	b1922	2001070	2001789	RNA polymerase sigma factor FliA	fliA // rpoF // flaD // b1922 // ECK1921	RNA polymerase sigma 28	cytosol
fliC	b1923	2002110	2003606	flagellar filament structural protein	fliC // H // flaF // hag // b1923 // ECK1922	flagellum	extracellular space // cell projection
fliD	b1924	2003872	2005278	flagellar filament capping protein	fliD // flbC // rfs // b1924 // ECK1923	flagellum	extracellular space // cell projection
fliE	b1937	2012700	2013014	flagellar protein FliE	fliE // fla // flaAI // flaN // b1937 // ECK1935		periplasmic space // cell projection
fliF	b1938	2013229	2014887	flagellar basal-body MS-ring and collar protein	fliF // flaAII.1 // flaBI // b1938 // ECK1936	flagellar basal body	inner membrane // periplasmic space // cytosol // cell projection
fliG	b1939	2014880	2015875	flagellar motor switch protein FliG	fliG // flaAII.2 // flaBII // b1939 // ECK1937	flagellar motor switch complex	inner membrane // cell projection
fliH	b1940	2015868	2016554	flagellar biosynthesis protein FliH	fliH // flaAII.3 // flaBIII // b1940 // ECK1938	flagellar export apparatus	cytosol // cell projection
fliI	b1941	2016554	2017927	flagellar export ATPase FliI	fliI // fla // flaAIII // flaC // b1941 // ECK1939	flagellar export apparatus	cytosol // inner membrane // cell projection
fliJ	b1942	2017946	2018389	flagellar biosynthesis protein FliJ	fliJ // flaO // b1942 // ECK1940	flagellar export apparatus	cytosol // inner membrane // cell projection
fliK	b1943	2018386	2019513	flagellar hook-length control protein	fliK // flaE // b1943 // ECK1941		cell projection
fliL	b1944	2019618	2020082	flagellar protein FliL	fliL // flaQI // flaAI // cheC1 // b1944 // ECK1942		inner membrane // cell projection
fliM	b1945	2020087	2021091	flagellar motor switch protein FliM	fliM // flaQ // fla // flaQII // flaAII // flaA // cheC2 // b1945 // ECK1943	flagellar motor switch complex	inner membrane // cell projection
fliN	b1946	2021088	2021501	flagellar motor switch protein FliN	fliN // motD // b1946 // ECK1944	flagellar motor switch complex	inner membrane // cell projection
fliO	b1947	2021504	2021869	flagellar biosynthesis protein FliO	fliO // flbD // b1947 // ECK1945	flagellar export apparatus	inner membrane // cell projection
fliP	b1948	2021869	2022606	flagellar biosynthesis protein FliP	fliP // flaR // b1948 // ECK1946	flagellar export apparatus	inner membrane // cell projection
fliQ	b1949	2022616	2022885	flagellar biosynthesis protein FliQ	fliQ // flaQ // b1949 // ECK1947	flagellar export apparatus	inner membrane // cell projection
fliR	b1950	2022893	2023678	flagellar biosynthesis protein FliR	fliR // flaP // b1950 // ECK1948	flagellar export apparatus	inner membrane // cell projection
fliS	b1925	2005303	2005713	flagellar biosynthesis protein FliS	fliS // b1925 // ECK1924		cytosol
fliT	b1926	2005713	2006078	flagellar biosynthesis protein FliT	fliT // b1926 // ECK1925		cytosol
fliZ	b1921	2000473	2001024	DNA-binding transcriptional regulator FliZ	fliZ // yedH // b1921 // ECK1920		cytosol
flk	b2321	2437950	2438945	putative flagella assembly protein	flk // div // b2321 // ECK2315		inner membrane
flu	b2000	2071539	2074658	CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter	flu // agn43 // yzzX // yeeQ // agn // b2000 // ECK1993		periplasmic space // extracellular space // outer membrane
flxA	b1566	1646405	1646737	Qin prophage; PF14282 family protein FlxA	flxA // b1566 // ECK1560		
fmt	b3288	3434214	3435161	10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase	fmt // ftm // yhdD // b3288 // ECK3274		cytosol
fnr	b1334	1398774	1399526	DNA-binding transcriptional dual regulator FNR	fnr // nirA // nirR // ossA // oxrA // b1334 // ECK1330	DNA-binding transcriptional dual regulator FNR	cytosol
fnrS	b4699	1409129	1409250	small regulatory RNA FnrS	fnrS // rydA // b4699 // ECK4511		
focA	b0904	953609	954466	formate channel FocA	focA // ycaE // b0904 // ECK0895	formate channel FocA	inner membrane
focB	b2492	2613934	2614782	formate channel FocB	focB // b2492 // ECK2488		inner membrane
folA	b0048	49823	50302	dihydrofolate reductase	folA // tmr // tmrA // b0048 // ECK0049		cytosol
folB	b3058	3204221	3204589	dihydroneopterin aldolase	folB // ygiG // b3058 // ECK3048	dihydroneopterin aldolase	cytosol
folC	b2315	2431674	2432942	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	folC // dedC // b2315 // ECK2309		cytosol
folD	b0529	556875	557741	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	folD // ads // b0529 // ECK0522	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	cytosol
folE	b2153	2242984	2243652	GTP cyclohydrolase 1	folE // b2153 // ECK2146	GTP cyclohydrolase 1	cytosol
folK	b0142	157253	157732	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK // b0142 // ECK0141		cytosol
folM	b1606	1680976	1681698	dihydromonapterin reductase	folM // ydgB // b1606 // ECK1601	dihydromonapterin reductase	cytosol
folP	b3177	3324063	3324911	dihydropteroate synthase	folP // dhpS // b3177 // ECK3166	dihydropteroate synthase	cytosol
folX	b2303	2421325	2421687	dihydroneopterin triphosphate 2'-epimerase	folX // b2303 // ECK2297	dihydroneopterin triphosphate 2'-epimerase	cytosol
fpr	b3924	4113726	4114472	flavodoxin/ferredoxin-NADP<sup>+</sup> reductase	fpr // flxR // mvrA // b3924 // ECK3916		cytosol
frc	b2374	2492004	2493254	formyl-CoA transferase	frc // yfdW // b2374 // ECK2370	formyl-CoA transferase	cytosol
frdA	b4154	4380510	4382318	fumarate reductase flavoprotein subunit	frdA // b4154 // ECK4150	fumarate reductase flavoprotein subunit // fumarate reductase iron-sulfur protein // fumarate reductase membrane protein FrdC // fumarate reductase membrane protein FrdD	inner membrane // cytosol
frdB	b4153	4379783	4380517	fumarate reductase iron-sulfur protein	frdB // b4153 // ECK4149	fumarate reductase flavoprotein subunit // fumarate reductase iron-sulfur protein // fumarate reductase membrane protein FrdC // fumarate reductase membrane protein FrdD	inner membrane // cytosol
frdC	b4152	4379377	4379772	fumarate reductase membrane protein FrdC	frdC // b4152 // ECK4148	fumarate reductase flavoprotein subunit // fumarate reductase iron-sulfur protein // fumarate reductase membrane protein FrdC // fumarate reductase membrane protein FrdD	inner membrane
frdD	b4151	4379007	4379366	fumarate reductase membrane protein FrdD	frdD // b4151 // ECK4147	fumarate reductase flavoprotein subunit // fumarate reductase iron-sulfur protein // fumarate reductase membrane protein FrdC // fumarate reductase membrane protein FrdD	inner membrane
fre	b3844	4026527	4027228	NAD(P)H-flavin reductase	fre // fadI // flrD // fsrC // b3844 // ECK3836		cytosol
frlA	b3370	3499910	3501247	fructoselysine/psicoselysine transporter	frlA // yhfM // b3370 // ECK3358		inner membrane
frlB	b3371	3501268	3502290	fructoselysine 6-phosphate deglycase	frlB // yhfN // b3371 // ECK3359	fructoselysine 6-phosphate deglycase	cytosol
frlC	b4474	3502340	3503170	fructoselysine 3-epimerase	frlC // b3373 // yhfP // yhfO // b3372 // b4474 // ECK3360	fructoselysine 3-epimerase	cytosol
frlD	b3374	3503167	3503952	fructoselysine 6-kinase	frlD // yhfQ // b3374 // ECK3361		cytosol
frlR	b3375	3504052	3504783	DNA-binding transcriptional regulator FrlR	frlR // yhfR // b3375 // ECK3362	DNA-binding transcriptional repressor FrlR	cytosol
frmA	b0356	378462	379571	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase	frmA // adhC // b0356 // ECK0353	S-(hydroxymethyl)glutathione dehydrogenase	cytosol
frmB	b0355	377535	378368	<i>S</i>-formylglutathione hydrolase FrmB	frmB // yaiM // b0355 // ECK0352		cytosol
frmR	b0357	379606	379881	DNA-binding transcriptional repressor FrmR	frmR // yaiN // b0357 // ECK0354	DNA-binding transcriptional repressor FrmR	cytosol
frr	b0172	192872	193429	ribosome-recycling factor	frr // rrf // b0172 // ECK0171		cytosol
frsA	b0239	256527	257771	fermentation-respiration switch protein	frsA // yafA // b0239 // ECK0240		cytosol
fruA	b2167	2259719	2261410	fructose-specific PTS multiphosphoryl transfer protein FruA	fruA // ptsF // b2167 // ECK2160	fructose-specific PTS enzyme II	inner membrane
fruB	b2169	2262365	2263495	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	fruB // fpr // fruF // b2169 // ECK2162	fructose-specific PTS enzyme II	inner membrane // cytosol
fruK	b2168	2261427	2262365	1-phosphofructokinase	fruK // fpk // b2168 // ECK2161	1-phosphofructokinase	cytosol
fruL	b0079	87860	87946		fruL // b0079		
frvA	b3900	4092377	4092823	putative PTS enzyme IIA component FrvA	frvA // yiiK // b3900 // ECK3893	putative PTS enzyme II FrvAB	cytosol // membrane
